Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,39,Mother,Violet010200,no the red hat's (replacement:replacement:hat is) too special .,Violet,170.633,180.595,[],[7|3|OBJ 8|7|LP] [9|12|QUANT] [10|12|DET] [11|12|MOD] [12|15|SUBJ 13|15|AUX] [14|15|JCT] [15|7|ENUM 16|2|PUNCT],[qn|no] [det:art|the] [n|red] [n|hat aux|be&3S] [adv|too] [adj|special .],,,,,,,,,,MotherofViolet_Violet010200_39
,40,Violet,Violet010200,yyy .,Violet,180.595,182.501,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_40
,41,Violet,Violet010200,"yyy , yyy .",Violet,182.501,185.636,[],[1|0|INCROOT] [2|1|PUNCT],[cm|cm] [.],,,,,,,,,,VioletofViolet_Violet010200_41
,42,Violet,Violet010200,xxx .,Violet,185.636,188.168,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_42
,43,Mother,Violet010200,you like the hats in here ?,Violet,188.168,195.715,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ] [5|4|NJCT] [6|5|POBJ 7|2|PUNCT],[pro:per|you] [conj|like] [det:art|the] [n|hat-PL] [prep|in] [adv|here ?],,,,,,,,,,MotherofViolet_Violet010200_43
,44,Mother,Violet010200,let's see this one .,Violet,195.715,198.595,[],[1|0|ROOT 2|1|OBJ] [3|1|XCOMP] [4|5|DET] [5|3|OBJ 6|1|PUNCT],[v|let~pro:obj|us] [v|see] [pro:dem|this] [pro:indef|one .],,,,,,,,,,MotherofViolet_Violet010200_44
,45,Mother,Violet010200,can bear wear Granny's green hat ?,Violet,198.595,201.493,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|7|MOD 5|4|POSS] [6|7|MOD] [7|3|OBJ 8|3|PUNCT],[mod|can] [v|bear] [v|wear] [n:prop|Granny~poss|s] [n|green] [n|hat ?],,,,,,,,,,MotherofViolet_Violet010200_45
,46,Mother,Violet010200,no the green hat is too old .,Violet,201.493,205.786,[],[1|4|QUANT] [2|4|DET] [3|4|MOD] [4|7|SUBJ] [5|7|AUX] [6|7|JCT] [7|0|ROOT 8|7|PUNCT],[qn|no] [det:art|the] [n|green] [n|hat] [aux|be&3S] [adv|too] [adj|old .],,,,,,,,,,MotherofViolet_Violet010200_46
,47,Mother,Violet010200,uhoh .,Violet,205.786,209.906,[],[1|0|INCROOT 2|1|PUNCT],[co|uhoh .],,,,,,,,,,MotherofViolet_Violet010200_47
,48,Mother,Violet010200,uhoh .,Violet,209.906,212.321,[],[1|0|INCROOT 2|1|PUNCT],[co|uhoh .],,,,,,,,,,MotherofViolet_Violet010200_48
