Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
137,Mother,Lily020909,oh who is that ?,Lily,0.0,0.0,[],[1|3|COM] [2|3|SUBJ] [3|0|ROOT] [4|3|PRED 5|3|PUNCT],[co|oh] [pro:int|who] [cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofLily_Lily020909_137
138,Lily,Lily020909,Isa .,Lily,302.946,308.043,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Isa .],,,,,,,,,,LilyofLily_Lily020909_138
139,Mother,Lily020909,Isa's (replacement:replacement:Isa is) dressed up as a witch .,Lily,0.0,0.0,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|3|JCT] [6|7|DET] [7|5|POBJ 8|3|PUNCT],[n:prop|Isa aux|be&3S] [part|dress-PASTP] [adv|up] [prep|as] [det:art|a] [n|witch .],,,,,,,,,,MotherofLily_Lily020909_139
140,Lily,Lily020909,and Tico is dressed up as a mummy .,Lily,308.043,312.45,[],[1|4|LINK] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|4|JCT] [6|4|JCT] [7|8|DET] [8|6|POBJ 9|4|PUNCT],[coord|and] [n:prop|Tico] [aux|be&3S] [part|dress-PASTP] [adv|up] [prep|as] [det:art|a] [n|mummy .],,,,,,,,,,LilyofLily_Lily020909_140
141,Mother,Lily020909,xxx .,Lily,0.0,0.0,gasps,[],[],,,,,,,,,,MotherofLily_Lily020909_141
142,Mother,Lily020909,"as a mummy , you're right .",Lily,312.45,314.64,[],[1|3|COORD] [2|3|DET] [3|0|INCROOT 4|3|LP] [5|7|SUBJ 6|7|AUX] [7|3|ENUM 8|3|PUNCT],[prep|as] [det:art|a] [n|mummy cm|cm] [pro:per|you~aux|be&PRES] [n|right .],,,,,,,,,,MotherofLily_Lily020909_142
143,Lily,Lily020909,a mummy .,Lily,314.64,315.43,[],[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|a] [n|mummy .],,,,,,,,,,LilyofLily_Lily020909_143
144,Mother,Lily020909,a mummy !,Lily,315.43,316.7,[],[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|a] [n|mummy !],,,,,,,,,,MotherofLily_Lily020909_144
145,Lily,Lily020909,mummy .,Lily,316.7,319.385,[],[1|0|INCROOT 2|1|PUNCT],[n|mummy .],,,,,,,,,,LilyofLily_Lily020909_145
146,Mother,Lily020909,should we read our book about the states ?,Lily,0.0,0.0,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|MOD] [5|3|OBJ] [6|3|JCT] [7|8|DET] [8|6|POBJ 9|3|PUNCT],[mod|should] [pro:sub|we] [v|read&ZERO] [det:poss|our] [n|book] [prep|about] [det:art|the] [n|state-PL ?],,,,,,,,,,MotherofLily_Lily020909_146
