Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
130,Alex,Alex020523,yyy .,Alex,295.895,297.841,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_130
131,Alex,Alex020523,yyy yyy .,Alex,297.84000000000003,304.363,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_131
132,Alex,Alex020523,what's that ?,Alex,304.363,307.598,[],[1|2|SUBJ 2|0|ROOT 3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S pro:dem|that ?],,,,,,,,,,AlexofAlex_Alex020523_132
133,Alex,Alex020523,wee I { play (?) } { white (?) } .,Alex,307.598,309.016,[],[1|3|JCT] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT 5|3|PUNCT],[adj|wee] [pro:sub|I] [v|play] [adj|white .],,,,,,,,,,AlexofAlex_Alex020523_133
134,Alex,Alex020523,yyy white .,Alex,309.016,311.355,[],[] [1|0|INCROOT 2|1|PUNCT],[] [adj|white .],,,,,,,,,,AlexofAlex_Alex020523_134
135,Alex,Alex020523,yyy yyy white .,Alex,311.355,314.665,[],[] [] [1|0|INCROOT 2|1|PUNCT],[] [] [adj|white .],,,,,,,,,,AlexofAlex_Alex020523_135
136,Alex,Alex020523,open white .,Alex,314.665,315.825,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[adj|open] [n|white .],,,,,,,,,,AlexofAlex_Alex020523_136
137,Mother,Alex020523,"you have_to sq<uish> , sq<uish> , squish it out .",Alex,315.825,318.21,"stuttering , MOT starts to speak to someone on telephone , adult-directed speech[]",[1|3|SUBJ] [2|3|AUX] [3|0|ROOT 4|3|LP] [5|3|COMP 6|5|LP] [7|5|COMP] [8|7|OBJ] [9|7|JCT 10|3|PUNCT],[pro:per|you] [mod:aux|have_to] [v|squish cm|cm] [v|squish cm|cm] [v|squish] [pro:per|it] [adv|out .],,,,,,,,,,MotherofAlex_Alex020523_137
138,Mother,Alex020523,hi .,Alex,318.21,319.415,[],[1|0|INCROOT 2|1|PUNCT],[co|hi .],,,,,,,,,,MotherofAlex_Alex020523_138
139,Mother,Alex020523,"I'm xxx , xxx , terribly sorry to bother you .",Alex,319.415,321.86,stuttering[],[1|6|SUBJ 2|6|AUX] [3|2|LP] [4|2|LP] [5|6|JCT] [6|0|ROOT] [7|8|INF] [8|6|XCOMP] [9|8|OBJ 10|6|PUNCT],[pro:sub|I~aux|be&1S] [cm|cm] [cm|cm] [adv|terrible&dadj-LY] [adj|sorry] [inf|to] [v|bother] [pro:per|you .],,,,,,,,,,MotherofAlex_Alex020523_139
