Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,S-lifting,GRASP,Morphology,uttid
491,470,Alex,Alex010614,yyy !,Alex,1832.951,1850.92,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_470
492,471,Grandmother,Alex010614,c'mon (replacement:replacement:come on) (.),Alex,1850.92,1853.55,[],,,,,,,,,,,[1|0|ROOT 2|3|JCT] ,[v|come adv|on],GrandmotherofAlex_Alex010614_471
493,471,Grandmother,Alex010614,c'mere (replacement:replacement:come here) .,Alex,0.0,0.0,[],,,,,,,,,,,[3|1|COMP 4|3|JCT 5|1|PUNCT],[v|come adv|here .],GrandmotherofAlex_Alex010614_471
494,472,Grandmother,Alex010614,c'mere (replacement:replacement:come on) .,Alex,1853.55,1855.108,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|come adv|on .],GrandmotherofAlex_Alex010614_472
495,473,Grandmother,Alex010614,go get a book .,Alex,1855.108,1859.59,[],,,,,,,,,,,[1|2|SRL] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT],[v|go] [v|get] [det:art|a] [n|book .],GrandmotherofAlex_Alex010614_473
496,474,Alex,Alex010614,yyy !,Alex,1859.59,1861.581,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_474
497,475,Grandmother,Alex010614,can you get a book ?,Alex,0.0,0.0,[],,,,,,,,,,,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|DET] [5|3|OBJ 6|3|PUNCT],[mod|can] [pro:per|you] [v|get] [det:art|a] [n|book ?],GrandmotherofAlex_Alex010614_475
498,476,Alex,Alex010614,yyy !,Alex,1861.581,1879.495,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_476
499,477,Mother,Alex010614,what's the matter Alex,Alex,0.0,0.0,[],,,,,,,,,,,[1|4|LINK 2|4|AUX] [3|4|DET] [4|7|SUBJ],[pro:int|what~aux|be&3S] [det:art|the] [n|matter] [n:prop|Alex],MotherofAlex_Alex010614_477
500,477,Mother,Alex010614,Alex how come your so upset today ?,Alex,0.0,0.0,[],,,,,,,,,,, [5|7|AUX] [6|7|LINK] [7|0|ROOT] [8|11|MOD] [9|10|JCT] [10|11|MOD] [11|7|JCT 12|7|PUNCT],[adv:int|how] [v|come] [det:poss|your] [adv|so] [adj|upset] [adv:tem|today ?],MotherofAlex_Alex010614_477
501,478,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_478
502,479,Mother,Alex010614,huh ?,Alex,0.0,0.0,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|huh ?],MotherofAlex_Alex010614_479
503,480,Mother,Alex010614,you don't feel good (t:t:self interruption question),Alex,1879.495,1881.846,[],,,,,,,,,,,[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|4|JCT 6|4|PUNCT],[pro:per|you] [mod|do~neg|not] [v|feel] [adj|good (mt:self interruption question)],MotherofAlex_Alex010614_480
504,481,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_481
505,482,Alex,Alex010614,yyy .,Alex,1881.846,1884.931,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_482
506,483,Mother,Alex010614,what's a matter,Alex,1884.931,1889.365,[],,,,,,,,,,,[1|4|LINK 2|4|AUX] [3|4|DET] [4|8|SUBJ],[pro:int|what~poss|s] [det:art|a] [v|matter ?],MotherofAlex_Alex010614_483
507,483,Mother,Alex010614,what's a matter ?,Alex,0.0,0.0,[],,,,,,,,,,,[1|4|LINK 2|4|AUX] [3|4|DET] [4|8|SUBJ],[pro:int|what~poss|s] [det:art|a] [v|matter ?],MotherofAlex_Alex010614_483
508,484,Mother,Alex010614,d'you (replacement:replacement:do you) need to show me something ?,Alex,1889.365,1891.24,[],,,,,,,,,,,[1|3|AUX 2|3|SUBJ] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|OBJ] [7|5|OBJ 8|3|PUNCT],[mod|do pro:per|you] [v|need] [inf|to] [v|show] [pro:obj|me] [pro:indef|something ?],MotherofAlex_Alex010614_484
509,485,Mother,Alex010614,alright wait a minute .,Alex,1891.24,1893.45,[],,,,,,,,,,,[1|2|COM] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT],[co|alright] [v|wait] [det:art|a] [n|minute .],MotherofAlex_Alex010614_485
510,486,Mother,Alex010614,c'mere (replacement:replacement:come here) .,Alex,1893.45,1895.235,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|come adv|here .],MotherofAlex_Alex010614_486
511,487,Mother,Alex010614,are you hungry .,Alex,1895.235,1898.796,[],,,,,,,,,,,[1|0|ROOT] [2|1|OBJ] [3|2|PRED 4|1|PUNCT],[cop|be&PRES] [pro:per|you] [adj|hungry .],MotherofAlex_Alex010614_487
512,488,Alex,Alex010614,yyy !,Alex,1898.796,1902.251,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_488
513,489,Mother,Alex010614,would you like a cookie ?,Alex,1902.251,1908.156,[],,,,,,,,,,,[1|2|AUX] [2|0|ROOT] [3|2|COM] [4|5|DET] [5|3|OBJ 6|2|PUNCT],[mod|will&COND] [pro:per|you] [conj|like] [det:art|a] [n|cookie ?],MotherofAlex_Alex010614_489
514,490,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_490
515,491,Mother,Alex010614,no cookie .,Alex,0.0,0.0,[],,,,,,,,,,,[1|2|QUANT] [2|0|INCROOT 3|2|PUNCT],[qn|no] [n|cookie .],MotherofAlex_Alex010614_491
516,492,Mother,Alex010614,would you like some grapes ?,Alex,1908.158,1909.283,[],,,,,,,,,,,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|QUANT] [5|3|OBJ 6|3|PUNCT],[mod|will&COND] [pro:per|you] [v|like] [qn|some] [n|grape-PL ?],MotherofAlex_Alex010614_492
517,493,Alex,Alex010614,yyy !,Alex,1909.283,1911.175,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_493
518,494,Mother,Alex010614,no (.) no grapes .,Alex,1911.175,1913.301,[],,,,,,,,,,,[1|3|QUANT] [2|3|QUANT] [3|0|INCROOT 4|3|PUNCT],[qn|no] [qn|no] [n|grape-PL .],MotherofAlex_Alex010614_494
519,495,Grandmother,Alex010614,something to drink ?,Alex,1913.301,1914.865,[],,,,,,,,,,,[1|0|INCROOT] [2|3|INF] [3|1|XCOMP 4|1|PUNCT],[pro:indef|something] [inf|to] [v|drink ?],GrandmotherofAlex_Alex010614_495
520,496,Mother,Alex010614,he has it .,Alex,1914.865,1916.518,[],,,,,,,,,,,[1|3|SUBJ] [2|3|AUX] [3|0|INCROOT 4|3|PUNCT],[pro:sub|he] [aux|have&3S] [pro:per|it .],MotherofAlex_Alex010614_496
521,497,Grandmother,Alex010614,oh .,Alex,0.0,0.0,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|oh .],GrandmotherofAlex_Alex010614_497
522,498,Mother,Alex010614,what what what ?,Alex,1916.518,1921.26,[],,,,,,,,,,,[1|3|LINK] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[pro:int|what] [det:int|what] [pro:int|what ?],MotherofAlex_Alex010614_498
523,499,Mother,Alex010614,c'mere (replacement:replacement:come here) .,Alex,1921.26,1923.413,[],,,,,,,,,,,[1|0|ROOT 2|1|JCT 3|1|PUNCT],[v|come adv|here .],MotherofAlex_Alex010614_499
524,500,Alex,Alex010614,yyy !,Alex,1923.413,1937.475,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_500
525,501,Mother,Alex010614,what honey ?,Alex,1937.475,1940.211,[],,,,,,,,,,,[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[pro:int|what] [n|honey ?],MotherofAlex_Alex010614_501
526,502,Alex,Alex010614,yyy .,Alex,0.0,0.0,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_502
527,503,Mother,Alex010614,you don't wanna play ?,Alex,0.0,0.0,[],,,,,,,,,,,[1|5|SUBJ] [2|5|AUX 3|2|NEG] [4|5|AUX] [5|0|ROOT 6|5|PUNCT],[pro:per|you] [mod|do~neg|not] [mod:aux|wanna] [v|play ?],MotherofAlex_Alex010614_503
528,504,Alex,Alex010614,yyy .,Alex,1940.211,1943.478,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_504
529,505,Mother,Alex010614,what's a matter (.) c'mon (replacement:replacement:come on) c'mere (replacement:replacement:come here) .,Alex,0.0,0.0,[],,,,,,,,,,,[1|5|LINK 2|5|AUX] [3|4|DET] [4|5|SUBJ] [5|0|ROOT 6|5|JCT] [7|5|COMP 8|7|JCT 9|5|PUNCT],[pro:int|what~aux|be&3S] [det:art|a] [n|matter] [v|come adv|on] [v|come adv|here .],MotherofAlex_Alex010614_505
530,506,Alex,Alex010614,yyy !,Alex,1943.478,1944.541,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_506
531,507,Mother,Alex010614,what's a matter ?,Alex,1944.541,1947.998,[],,,,,,,,,,,[1|4|LINK 2|4|AUX] [3|4|DET] [4|0|ROOT 5|4|PUNCT],[pro:int|what~aux|be&3S] [det:art|a] [v|matter ?],MotherofAlex_Alex010614_507
532,508,Mother,Alex010614,I know what you're looking for .,Alex,1947.998,1953.693,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|6|LINK] [4|6|SUBJ 5|6|AUX] [6|2|COMP] [7|6|JCT 8|2|PUNCT],[pro:sub|I] [v|know] [pro:int|what] [pro:per|you~aux|be&PRES] [part|look-PRESP] [prep|for .],MotherofAlex_Alex010614_508
533,509,Mother,Alex010614,but you can't have it .,Alex,1953.693,1955.016,[],,,,,,,,,,,[1|5|LINK] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|0|ROOT] [6|5|OBJ 7|5|PUNCT],[conj|but] [pro:per|you] [mod|can~neg|not] [v|have] [pro:per|it .],MotherofAlex_Alex010614_509
534,510,Mother,Alex010614,what ?,Alex,1955.016,1958.085,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[pro:int|what ?],MotherofAlex_Alex010614_510
535,511,Mother,Alex010614,who's that ?,Alex,1958.085,1959.59,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|who~cop|be&3S] [pro:dem|that ?],MotherofAlex_Alex010614_511
536,512,Mother,Alex010614,did you say hello ?,Alex,1959.59,1960.845,[],,,,,,,,,,,[1|0|ROOT] [2|3|SUBJ] [3|1|COMP] [4|3|OBJ 5|1|PUNCT],[v|do&PAST] [pro:per|you] [v|say] [n|hello ?],MotherofAlex_Alex010614_512
537,513,Mother,Alex010614,alright alright .,Alex,1960.845,1962.678,[],,,,,,,,,,,[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|alright] [co|alright .],MotherofAlex_Alex010614_513
538,514,Mother,Alex010614,want Mommy to pick you up ?,Alex,1962.678,1964.818,[],,,,,,,,,,,[1|0|ROOT] [2|1|OBJ] [3|4|INF] [4|2|XCOMP] [5|4|OBJ] [6|4|JCT 7|1|PUNCT],[v|want] [n:prop|Mommy] [inf|to] [v|pick] [pro:per|you] [adv|up ?],MotherofAlex_Alex010614_514
539,515,Mother,Alex010614,would you like to go look at the garden ?,Alex,1964.818,1968.146,[],,,,,,,,,,,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|OBJ] [7|6|JCT] [8|9|DET] [9|7|POBJ 10|3|PUNCT],[mod|will&COND] [pro:per|you] [v|like] [inf|to] [v|go] [v|look] [prep|at] [det:art|the] [n|garden ?],MotherofAlex_Alex010614_515
540,516,Mother,Alex010614,would you like to go look at the garden ?,Alex,1968.146,1970.895,[],,,,,,,,,,,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|OBJ] [7|6|JCT] [8|9|DET] [9|7|POBJ 10|3|PUNCT],[mod|will&COND] [pro:per|you] [v|like] [inf|to] [v|go] [v|look] [prep|at] [det:art|the] [n|garden ?],MotherofAlex_Alex010614_516
541,517,Mother,Alex010614,yeah .,Alex,1970.895,1980.415,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|yeah .],MotherofAlex_Alex010614_517
542,518,Mother,Alex010614,you like to look at that garden .,Alex,1980.415,1981.891,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|4|INF] [4|2|XCOMP] [5|4|JCT] [6|7|DET] [7|5|POBJ 8|2|PUNCT],[pro:per|you] [v|like] [inf|to] [v|look] [prep|at] [pro:dem|that] [n|garden .],MotherofAlex_Alex010614_518
543,519,Mother,Alex010614,see .,Alex,1981.891,1986.728,[],,,,,,,,,,,[1|0|ROOT 2|1|PUNCT],[v|see .],MotherofAlex_Alex010614_519
544,520,Mother,Alex010614,wow it's very pretty .,Alex,1986.728,1989.35,[],,,,,,,,,,,[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|5|JCT] [5|3|JCT 6|3|PUNCT],[co|wow] [pro:per|it~cop|be&3S] [adv|very] [adv|pretty .],MotherofAlex_Alex010614_520
545,521,Mother,Alex010614,see all the vegetables .,Alex,1989.35,1992.961,[],,,,,,,,,,,[1|0|ROOT] [2|4|QUANT] [3|4|DET] [4|1|OBJ 5|1|PUNCT],[v|see] [qn|all] [det:art|the] [n|vegetable-PL .],MotherofAlex_Alex010614_521
546,522,Mother,Alex010614,and the flowers .,Alex,1992.961,1995.488,[],,,,,,,,,,,[1|3|LINK] [2|3|DET] [3|0|INCROOT 4|3|PUNCT],[coord|and] [det:art|the] [n|flower-PL .],MotherofAlex_Alex010614_522
547,523,Mother,Alex010614,right ?,Alex,1995.488,2004.986,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|right ?],MotherofAlex_Alex010614_523
548,524,Alex,Alex010614,yyy yyy .,Alex,2004.986,2007.415,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_524
549,525,Mother,Alex010614,see the people walking in the down the street ?,Alex,2007.415,2010.515,[],,,,,,,,,,,[1|0|ROOT] [2|3|DET] [3|1|OBJ] [4|3|XMOD] [5|4|JCT] [6|5|POBJ] [7|6|JCT] [8|9|DET] [9|7|POBJ 10|1|PUNCT],[v|see] [det:art|the] [n|person&PL] [part|walk-PRESP] [prep|in] [det:art|the] [prep|down] [det:art|the] [n|street ?],MotherofAlex_Alex010614_525
550,526,Mother,Alex010614,going for a walk and oh the birdies (.) the birdies .,Alex,2010.515,2014.46,[],,,,,,,,,,,[1|0|INCROOT] [2|1|JCT] [3|4|DET] [4|2|POBJ] [5|1|CONJ] [6|8|COM] [7|8|DET] [8|5|COORD] [9|10|DET] [10|8|OBJ 11|1|PUNCT],[part|go-PRESP] [prep|for] [det:art|a] [n|walk] [coord|and] [co|oh] [det:art|the] [n|bird-DIM-PL] [det:art|the] [n|bird-DIM-PL .],MotherofAlex_Alex010614_526
551,527,Mother,Alex010614,what's a birdie say ?,Alex,2014.46,2016.368,[],,,,,,,,,,,[1|5|LINK 2|5|AUX] [3|4|DET] [4|5|SUBJ] [5|0|ROOT 6|5|PUNCT],[pro:int|what~aux|be&3S] [det:art|a] [n|bird-DIM] [v|say ?],MotherofAlex_Alex010614_527
552,528,Mother,Alex010614,tweet@o chreet@o .,Alex,2016.368,2017.703,[],,,,,,,,,,,[1|0|INCROOT] [2|1|ENUM 3|1|PUNCT],[on|tweet] [on|chreet .],MotherofAlex_Alex010614_528
553,529,Mother,Alex010614,tweet tweet .,Alex,2017.703,2019.75,[],,,,,,,,,,,[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|tweet] [on|tweet .],MotherofAlex_Alex010614_529
554,530,Mother,Alex010614,there .,Alex,2019.75,2072.393,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[adv|there .],MotherofAlex_Alex010614_530
555,531,Alex,Alex010614,yyy yyy .,Alex,2072.393,2074.246,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_531
556,532,Mother,Alex010614,careful careful careful .,Alex,2074.246,2078.481,[],,,,,,,,,,,[1|3|COM] [2|3|COM] [3|0|INCROOT 4|3|PUNCT],[co|careful] [co|careful] [co|careful .],MotherofAlex_Alex010614_532
557,533,Alex,Alex010614,yyy .,Alex,2078.481,2079.75,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_533
