Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
765,Violet,Violet030600,yeah .,Violet,1921.271,1923.005,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,VioletofViolet_Violet030600_765
766,Violet,Violet030600,George mommy xxx .,Violet,1923.005,1927.741,[],[1|2|MOD] [2|0|INCROOT] [3|2|PUNCT],[n:prop|George] [n|mommy] [.],,,,,,,,,,VioletofViolet_Violet030600_766
767,Mother,Violet030600,George shrinks ?,Violet,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[n:prop|George] [v|shrink-3S ?],,,,,,,,,,MotherofViolet_Violet030600_767
768,Mother,Violet030600,how did he get so small: ?,Violet,1927.741,1929.891,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|6|JCT] [6|4|PRED 7|4|PUNCT],[adv:int|how] [mod|do&PAST] [pro:sub|he] [v|get] [adv|so] [adj|small ?],,,,,,,,,,MotherofViolet_Violet030600_768
769,Violet,Violet030600,shrinks .,Violet,1929.891,1931.373,[],[1|0|ROOT 2|1|PUNCT],[v|shrink-3S .],,,,,,,,,,VioletofViolet_Violet030600_769
770,Mother,Violet030600,whoa I have gotta look one thing in this .,Violet,1931.373,1933.193,[],[1|5|COM] [2|5|SUBJ] [3|5|AUX] [4|5|AUX] [5|0|ROOT] [6|7|QUANT] [7|5|OBJ] [8|7|NJCT] [9|8|POBJ 10|5|PUNCT],[co|whoa] [pro:sub|I] [0aux|have] [mod:aux|gotta] [v|look] [det:num|one] [n|thing] [prep|in] [pro:dem|this .],,,,,,,,,,MotherofViolet_Violet030600_770
771,Mother,Violet030600,"whoa: everything's a mess in this house , I have gotta clean up this house today .",Violet,1933.193,1937.168,[],[1|2|COM] [2|3|SUBJ 3|0|ROOT] [4|5|DET] [5|3|PRED] [6|5|NJCT] [7|8|DET] [8|6|POBJ 9|3|LP] [10|13|SUBJ] [11|13|AUX] [12|13|AUX] [13|3|CJCT] [14|13|JCT] [15|16|DET] [16|14|POBJ] [17|13|JCT 18|3|PUNCT],[co|whoa] [pro:indef|everything~cop|be&3S] [det:art|a] [n|mess] [prep|in] [pro:dem|this] [n|house cm|cm] [pro:sub|I] [0aux|have] [mod:aux|gotta] [v|clean] [prep|up] [pro:dem|this] [n|house] [adv:tem|today .],,,,,,,,,,MotherofViolet_Violet030600_771
772,Mother,Violet030600,le<t> me see something in here .,Violet,1937.168,1942.228,[],[1|0|ROOT] [2|1|OBJ] [3|1|XCOMP] [4|3|OBJ] [5|3|JCT] [6|5|POBJ 7|1|PUNCT],[v|let&ZERO] [pro:obj|me] [v|see] [pro:indef|something] [prep|in] [adv|here .],,,,,,,,,,MotherofViolet_Violet030600_772
773,Mother,Violet030600,I just wanna see something on the apartments !,Violet,1942.228,1949.433,[],[1|4|SUBJ] [2|4|JCT] [3|4|AUX] [4|0|ROOT] [5|4|OBJ] [6|4|JCT] [7|8|DET] [8|6|POBJ 9|4|PUNCT],[pro:sub|I] [adv|just] [mod:aux|wanna] [v|see] [pro:indef|something] [prep|on] [det:art|the] [n|apartment-PL !],,,,,,,,,,MotherofViolet_Violet030600_773
774,Violet,Violet030600,g@l o@l mom I .,Violet,1949.433,1955.568,[],[1|4|LINK] [2|4|MOD] [3|4|MOD] [4|0|ROOT 5|4|PUNCT],[n:let|g] [n:let|o] [n|mom] [pro:sub|I .],,,,,,,,,,VioletofViolet_Violet030600_774
775,Mother,Violet030600,xxx .,Violet,0.0,0.0,MOT is whistling,[],[],,,,,,,,,,MotherofViolet_Violet030600_775
776,Violet,Violet030600,g@l o@l mom (t:t:interruption),Violet,1955.568,1959.001,[],[1|0|INCROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[n:let|g] [n:let|o] [n|mom (mt:interruption)],,,,,,,,,,VioletofViolet_Violet030600_776
777,Mother,Violet030600,xxx Violet .,Violet,0.0,0.0,MOT is whistling,[] [1|0|INCROOT 2|1|PUNCT],[] [n:prop|Violet .],,,,,,,,,,MotherofViolet_Violet030600_777
778,Violet,Violet030600,the mom I xxx (t:t:interruption),Violet,1959.003,1961.52,[],[1|2|DET] [2|3|SUBJ] [3|0|ROOT] [4|3|PUNCT],[det:art|the] [n|mom] [pro:sub|I] [(mt:interruption)],,,,,,,,,,VioletofViolet_Violet030600_778
779,Mother,Violet030600,be careful: .,Violet,0.0,0.0,[],[1|0|ROOT] [2|1|PRED 3|1|PUNCT],[cop|be] [adj|care&dn-FULL .],,,,,,,,,,MotherofViolet_Violet030600_779
780,Violet,Violet030600,xxx .,Violet,1961.52,1965.131,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_780
781,Mother,Violet030600,how come you keep sliding and slipping ?,Violet,0.0,0.0,[],[1|2|LINK] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP] [5|4|OBJ] [6|5|CONJ] [7|6|COORD 8|2|PUNCT],[adv:int|how] [v|come] [pro:per|you] [v|keep] [part|slide-PRESP] [coord|and] [part|slip-PRESP ?],,,,,,,,,,MotherofViolet_Violet030600_781
782,Violet,Violet030600,xxx .,Violet,1965.131,1966.615,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_782
783,Mother,Violet030600,slipping and sliding .,Violet,0.0,0.0,[],[1|0|INCROOT] [2|1|CONJ] [3|2|COORD 4|1|PUNCT],[part|slip-PRESP] [coord|and] [part|slide-PRESP .],,,,,,,,,,MotherofViolet_Violet030600_783
