Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
234,Mother,Naima021008a,"after Veena finds the cat and finds Pushba , then we'll go have a cookie and some milk .",Naima,872.736,877.82,[],[1|3|JCT] [2|3|SUBJ] [3|0|ROOT] [4|5|DET] [5|3|OBJ] [6|3|CONJ] [7|6|COORD] [8|7|OBJ 9|8|LP] [10|14|JCT] [11|14|SUBJ 12|14|AUX] [13|14|SRL] [14|7|CJCT] [15|16|DET] [16|14|OBJ] [17|16|CONJ] [18|19|QUANT] [19|17|COORD 20|3|PUNCT],[adv:tem|after] [n:prop|Veena] [v|find-3S] [det:art|the] [n|cat] [coord|and] [v|find-3S] [n:prop|Pushba cm|cm] [adv:tem|then] [pro:sub|we~mod|will] [v|go] [v|have] [det:art|a] [n|cookie] [coord|and] [qn|some] [n|milk .],,,,,,,,,,MotherofNaima_Naima021008a_234
235,Mother,Naima021008a,"hm: , I wonder if I will find anything unusual in my chicken coop this evening .",Naima,877.82,884.6659999999999,[],[1|4|COM 2|1|LP] [3|4|SUBJ] [4|0|ROOT] [5|8|LINK] [6|8|SUBJ] [7|8|AUX] [8|4|CJCT] [9|8|OBJ] [10|8|OBJ] [11|10|JCT] [12|13|MOD] [13|11|POBJ] [14|10|XJCT] [15|16|DET] [16|14|OBJ 17|4|PUNCT],[co|hm cm|cm] [pro:sub|I] [v|wonder] [conj|if] [pro:sub|I] [mod|will] [v|find] [pro:indef|anything] [un#adj|usual] [prep|in] [det:poss|my] [n|chicken] [v|coop] [pro:dem|this] [n|evening .],,,,,,,,,,MotherofNaima_Naima021008a_235
236,Mother,Naima021008a,hm: (t:t:trail off),Naima,884.6659999999999,887.9,[],[1|0|INCROOT 2|1|PUNCT],[co|hm (mt:trail off)],,,,,,,,,,MotherofNaima_Naima021008a_236
237,Mother,Naima021008a,where's the cat ?,Naima,887.9,891.925,[],[1|2|LINK 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[adv:int|where~cop|be&3S] [det:art|the] [n|cat ?],,,,,,,,,,MotherofNaima_Naima021008a_237
238,Mother,Naima021008a,oh that kitten is right here .,Naima,891.925,896.103,[],[1|6|COM] [2|6|LINK] [3|6|SUBJ] [4|6|AUX] [5|6|JCT] [6|0|ROOT 7|6|PUNCT],[co|oh] [pro:rel|that] [n|kitten] [aux|be&3S] [adv|right] [adv|here .],,,,,,,,,,MotherofNaima_Naima021008a_238
239,Mother,Naima021008a,"kitten , come out of the chicken coop .",Naima,896.103,900.491,[],[1|3|SUBJ 2|1|LP] [3|0|ROOT] [4|3|JCT] [5|3|JCT] [6|8|DET] [7|8|MOD] [8|5|POBJ 9|3|PUNCT],[n|kitten cm|cm] [v|come] [adv|out] [prep|of] [det:art|the] [n|chicken] [n|coop .],,,,,,,,,,MotherofNaima_Naima021008a_239
240,Naima,Naima021008a,yyy come out of the chicken coop Veena (t:t:interruption),Naima,900.491,907.345,[],[] [1|0|ROOT] [2|1|JCT] [3|1|JCT] [4|6|MOD] [5|6|MOD] [6|3|POBJ] [7|6|APP 8|1|PUNCT],[] [v|come] [adv|out] [prep|of] [0det|the] [n|chicken] [n|coop] [n:prop|Veena (mt:interruption)],,,,,,,,,,NaimaofNaima_Naima021008a_240
241,Mother,Naima021008a,"let the chicken sleep , they need to get their sleep , kitten .",Naima,0.0,0.0,[],[1|0|ROOT] [2|4|DET] [3|4|MOD] [4|1|OBJ 5|4|LP] [6|7|SUBJ] [7|4|XMOD] [8|9|INF] [9|7|XCOMP] [10|11|MOD] [11|9|OBJ 12|11|LP] [13|11|ENUM 14|1|PUNCT],[v|let&ZERO] [det:art|the] [n|chicken] [n|sleep cm|cm] [pro:sub|they] [v|need] [inf|to] [v|get] [det:poss|their] [n|sleep cm|cm] [n|kitten .],,,,,,,,,,MotherofNaima_Naima021008a_241
242,Naima,Naima021008a,"and this has to , to please xxx , go white on this .",Naima,907.346,914.891,[],[1|3|LINK] [2|3|DET] [3|0|ROOT] [4|3|JCT 5|4|LP] [6|4|JCT] [7|9|COM] [8|9|SUBJ] [9|6|POBJ] [10|9|OBJ] [11|10|JCT] [12|11|POBJ 13|3|PUNCT],[coord|and] [pro:dem|this] [aux|have&3S] [prep|to cm|cm] [prep|to] [co|please] [cm|cm] [v|go] [adj|white] [prep|on] [pro:dem|this .],,,,,,,,,,NaimaofNaima_Naima021008a_242
243,Mother,Naima021008a,alright .,Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|alright .],,,,,,,,,,MotherofNaima_Naima021008a_243
